Digi-Key Part Number,Quantity 1,Description,Ref Des
490-3340-1-ND,2,10µF ±10% 6.3V X5R Capacitor 0805,"C4,C11"
490-6196-1-ND,2,"12pF ±1% 50V C0G, NP0 Capacitor 0402","C5,C6"
311-470LRCT-ND,4,470 ohms 0402,"R7,R11,R12,R13"
609-3695-1-ND,2,CC-Debugger Header,"CC1110-DEBUG,BLE113-DEBUG"
LM3671MF-3.3/NOPBCT-ND,1,3.3V Buck Converter 0.6A SOT23,VREG
445-7482-1-ND,3,4.7µF ±10% 10V X5R Capacitor 0603,"C2,C3,C14"
587-1227-1-ND,6,0.10µF ±10% 10V X5R Capacitor 0402,"C1,C7,C8,C10,C12,C13"
455-1749-1-ND,1,2 Positions JST Header 2mm,JP1
490-5344-1-ND,1,2.2µH Shielded Wirewound Inductor 1.46A,L1
MCP73831T-2DCI/OTCT-ND,1,L-ION Battery Management IC,U1
296-38560-1-ND,1,CC1110 SOC RF Transceiver,CC1110
644-1052-1-ND,1,24MHz ±15ppm Crystal 8pF 50 Ohm,X1
490-1320-1-ND,1,1µF ±10% 6.3V X5R Capacitor 0402,C9
ANT-916-JJB-RA-ND,1,Antenna 916MHZ,ANT
401-2016-1-ND,1,SWITCH SLIDE SPDT 300MA 6V,PWR
1446-1035-1-ND,1,Bluetooth Low Energy BLE113-A 256K,U3
311-0.0JRCT-ND,1,0 Ohm Jumper,R9
511-1299-1-ND,2,LED GREEN CLEAR 0603 SMD,"LED3,LED4"
311-2.0KJRCT-ND,1,"2k Ohm ±5% 0.063W, 1/16W Resistor 0402",R1
311-56.0KLRCT-ND,1,"56k Ohm ±1% 0.063W, 1/16W Resistor 0402",R3
H2959CT-ND,1,USB - mini B USB 2.0 Receptacle Connector,X3
311-330JRCT-ND,1,"330 Ohm ±5% 0.063W, 1/16W Resistor 0402",R2
160-1447-1-ND,1,LED RED CLEAR 0603 SMD,LED1
LNJ937W8CRACT-ND,2,LED BLUE 0603 SMD,"LED2,LED5"
712-1541-1-ND,1,915 MHz Impedance Matched Balun-Filter,IC1
,40,,